word1,word2,relation,direction,pos
energy,force,hypernymy,hyponym_to_hypernym,n
counterculture,culture,hypernymy,hyponym_to_hypernym,n
scandal,trouble,hypernymy,hyponym_to_hypernym,n
woodbine,honeysuckle,hypernymy,hyponym_to_hypernym,n
theory,belief,hypernymy,hyponym_to_hypernym,n
sulfamethoxazole,sulfa,hypernymy,hyponym_to_hypernym,n
rustic,commoner,hypernymy,hyponym_to_hypernym,n
magnet,device,hypernymy,hyponym_to_hypernym,n
psalmody,singing,hypernymy,hyponym_to_hypernym,n
attribute,abstraction,hypernymy,hyponym_to_hypernym,n
eclair,chou,hypernymy,hyponym_to_hypernym,n
screed,writing,hypernymy,hyponym_to_hypernym,n
disaster,destruction,hypernymy,hyponym_to_hypernym,n
coagulant,agent,hypernymy,hyponym_to_hypernym,n
sarcosporidian,sporozoan,hypernymy,hyponym_to_hypernym,n
tor,rock,hypernymy,hyponym_to_hypernym,n
pacifism,doctrine,hypernymy,hyponym_to_hypernym,n
abetalipoproteinemia,hypobetalipoproteinemia,hypernymy,hyponym_to_hypernym,n
reputation,notoriety,hypernymy,hyponym_to_hypernym,n
ironmongery,merchandise,hypernymy,hyponym_to_hypernym,n
urgency,situation,hypernymy,hyponym_to_hypernym,n
avoidance,rejection,hypernymy,hyponym_to_hypernym,n
pressing,part,hypernymy,hyponym_to_hypernym,n
reset,device,hypernymy,hyponym_to_hypernym,n
inconstancy,changeableness,hypernymy,hyponym_to_hypernym,n
knee,ginglymus,hypernymy,hyponym_to_hypernym,n
hyperpnea,breathing,hypernymy,hyponym_to_hypernym,n
clawback,restitution,hypernymy,hyponym_to_hypernym,n
homeless,unfortunate,hypernymy,hyponym_to_hypernym,n
dowel,fastener,hypernymy,hyponym_to_hypernym,n
enchantment,sorcery,hypernymy,hyponym_to_hypernym,n
octet,opus,hypernymy,hyponym_to_hypernym,n
doorsill,sill,hypernymy,hyponym_to_hypernym,n
louse,insect,hypernymy,hyponym_to_hypernym,n
backscratcher,opportunist,hypernymy,hyponym_to_hypernym,n
phenylephrine,adrenergic,hypernymy,hyponym_to_hypernym,n
splinter,bit,hypernymy,hyponym_to_hypernym,n
protozoologist,zoologist,hypernymy,hyponym_to_hypernym,n
rudd,cyprinid,hypernymy,hyponym_to_hypernym,n
admission,entrance,hypernymy,hyponym_to_hypernym,n
persimmon,berry,hypernymy,hyponym_to_hypernym,n
pichi,shrub,hypernymy,hyponym_to_hypernym,n
subsidiary,company,hypernymy,hyponym_to_hypernym,n
somniloquy,sleeping,hypernymy,hyponym_to_hypernym,n
snook,robalo,hypernymy,hyponym_to_hypernym,n
platform,level,hypernymy,hyponym_to_hypernym,n
enchantress,occultist,hypernymy,hyponym_to_hypernym,n
shelter,structure,hypernymy,hyponym_to_hypernym,n
affinity,attraction,hypernymy,hyponym_to_hypernym,n
mastaba,grave,hypernymy,hyponym_to_hypernym,n
antiarrhythmic,medicine,hypernymy,hyponym_to_hypernym,n
hydronephrosis,pathology,hypernymy,hyponym_to_hypernym,n
words,language,hypernymy,hyponym_to_hypernym,n
fabric,artifact,hypernymy,hyponym_to_hypernym,n
spirituality,inwardness,hypernymy,hyponym_to_hypernym,n
appointment,occupation,hypernymy,hyponym_to_hypernym,n
consideration,thinking,hypernymy,hyponym_to_hypernym,n
security,assets,hypernymy,hyponym_to_hypernym,n
charcoal,drawing,hypernymy,hyponym_to_hypernym,n
superposition,placement,hypernymy,hyponym_to_hypernym,n
edict,announcement,hypernymy,hyponym_to_hypernym,n
three,digit,hypernymy,hyponym_to_hypernym,n
bummer,irritation,hypernymy,hyponym_to_hypernym,n
haystack,stack,hypernymy,hyponym_to_hypernym,n
allotment,share,hypernymy,hyponym_to_hypernym,n
ferment,substance,hypernymy,hyponym_to_hypernym,n
portfolio,list,hypernymy,hyponym_to_hypernym,n
metropolitan,resident,hypernymy,hyponym_to_hypernym,n
ballplayer,player,hypernymy,hyponym_to_hypernym,n
conspiracy,set,hypernymy,hyponym_to_hypernym,n
swoop,foray,hypernymy,hyponym_to_hypernym,n
heave,movement,hypernymy,hyponym_to_hypernym,n
thirtieth,rank,hypernymy,hyponym_to_hypernym,n
ballast,gravel,hypernymy,hyponym_to_hypernym,n
master,employer,hypernymy,hyponym_to_hypernym,n
ordinand,clergyman,hypernymy,hyponym_to_hypernym,n
tenor,pitch,hypernymy,hyponym_to_hypernym,n
interoperability,ability,hypernymy,hyponym_to_hypernym,n
usher,official,hypernymy,hyponym_to_hypernym,n
point,outlet,hypernymy,hyponym_to_hypernym,n
courser,hunter,hypernymy,hyponym_to_hypernym,n
ferroconcrete,concrete,hypernymy,hyponym_to_hypernym,n
babysitting,care,hypernymy,hyponym_to_hypernym,n
spawner,fish,hypernymy,hyponym_to_hypernym,n
birdfeeder,device,hypernymy,hyponym_to_hypernym,n
banzai,cheer,hypernymy,hyponym_to_hypernym,n
ultimacy,degree,hypernymy,hyponym_to_hypernym,n
upholder,supporter,hypernymy,hyponym_to_hypernym,n
documentation,confirmation,hypernymy,hyponym_to_hypernym,n
slicing,cut,hypernymy,hyponym_to_hypernym,n
twaddler,communicator,hypernymy,hyponym_to_hypernym,n
veil,garment,hypernymy,hyponym_to_hypernym,n
quota,allotment,hypernymy,hyponym_to_hypernym,n
hypotensive,patient,hypernymy,hyponym_to_hypernym,n
verse,poem,hypernymy,hyponym_to_hypernym,n
hotspot,spot,hypernymy,hyponym_to_hypernym,n
neoconservatism,conservatism,hypernymy,hyponym_to_hypernym,n
twofer,offer,hypernymy,hyponym_to_hypernym,n
disruption,disturbance,hypernymy,hyponym_to_hypernym,n
diver,explorer,hypernymy,hyponym_to_hypernym,n
gratuity,prize,hypernymy,hyponym_to_hypernym,n
tarriance,delay,hypernymy,hyponym_to_hypernym,n
rocket,herb,hypernymy,hyponym_to_hypernym,n
chieftaincy,position,hypernymy,hyponym_to_hypernym,n
whiting,sciaenid,hypernymy,hyponym_to_hypernym,n
trestlework,structure,hypernymy,hyponym_to_hypernym,n
cliff,formation,hypernymy,hyponym_to_hypernym,n
strain,effort,hypernymy,hyponym_to_hypernym,n
heterocyclic,compound,hypernymy,hyponym_to_hypernym,n
upturn,improvement,hypernymy,hyponym_to_hypernym,n
particulate,material,hypernymy,hyponym_to_hypernym,n
buying,purchase,hypernymy,hyponym_to_hypernym,n
hazel,tree,hypernymy,hyponym_to_hypernym,n
cowage,pod,hypernymy,hyponym_to_hypernym,n
weeper,unfortunate,hypernymy,hyponym_to_hypernym,n
colugo,placental,hypernymy,hyponym_to_hypernym,n
sergeant,lawman,hypernymy,hyponym_to_hypernym,n
badgering,harassment,hypernymy,hyponym_to_hypernym,n
dramatization,writing,hypernymy,hyponym_to_hypernym,n
one,unit,hypernymy,hyponym_to_hypernym,n
sericulture,production,hypernymy,hyponym_to_hypernym,n
bombing,attack,hypernymy,hyponym_to_hypernym,n
passage,journey,hypernymy,hyponym_to_hypernym,n
shipway,canal,hypernymy,hyponym_to_hypernym,n
kino,tree,hypernymy,hyponym_to_hypernym,n
smuttiness,dirtiness,hypernymy,hyponym_to_hypernym,n
phonetician,linguist,hypernymy,hyponym_to_hypernym,n
basket,score,hypernymy,hyponym_to_hypernym,n
trailer,conveyance,hypernymy,hyponym_to_hypernym,n
actinoid,group,hypernymy,hyponym_to_hypernym,n
end,extremity,hypernymy,hyponym_to_hypernym,n
onychophoran,arthropod,hypernymy,hyponym_to_hypernym,n
rigging,gear,hypernymy,hyponym_to_hypernym,n
abecedarian,novice,hypernymy,hyponym_to_hypernym,n
analogue,similarity,hypernymy,hyponym_to_hypernym,n
xerostomia,dryness,hypernymy,hyponym_to_hypernym,n
lifesaver,preserver,hypernymy,hyponym_to_hypernym,n
stupefaction,astonishment,hypernymy,hyponym_to_hypernym,n
wristwatch,watch,hypernymy,hyponym_to_hypernym,n
orzo,pasta,hypernymy,hyponym_to_hypernym,n
contractor,organ,hypernymy,hyponym_to_hypernym,n
oriole,oscine,hypernymy,hyponym_to_hypernym,n
bangle,adornment,hypernymy,hyponym_to_hypernym,n
linkage,inheritance,hypernymy,hyponym_to_hypernym,n
bulletin,report,hypernymy,hyponym_to_hypernym,n
chokehold,clasp,hypernymy,hyponym_to_hypernym,n
underpants,undergarment,hypernymy,hyponym_to_hypernym,n
moneymaker,capitalist,hypernymy,hyponym_to_hypernym,n
precursor,material,hypernymy,hyponym_to_hypernym,n
treatment,care,hypernymy,hyponym_to_hypernym,n
fire,trial,hypernymy,hyponym_to_hypernym,n
rubidium,metal,hypernymy,hyponym_to_hypernym,n
spinney,brush,hypernymy,hyponym_to_hypernym,n
stepchild,child,hypernymy,hyponym_to_hypernym,n
pretension,artificiality,hypernymy,hyponym_to_hypernym,n
lesson,teaching,hypernymy,hyponym_to_hypernym,n
fescue,grass,hypernymy,hyponym_to_hypernym,n
submersible,apparatus,hypernymy,hyponym_to_hypernym,n
leftovers,food,hypernymy,hyponym_to_hypernym,n
waterproofing,protection,hypernymy,hyponym_to_hypernym,n
devisor,testator,hypernymy,hyponym_to_hypernym,n
stir,disturbance,hypernymy,hyponym_to_hypernym,n
sorghum,syrup,hypernymy,hyponym_to_hypernym,n
agaric,basidiomycete,hypernymy,hyponym_to_hypernym,n
insert,artifact,hypernymy,hyponym_to_hypernym,n
equivalent,cognition,hypernymy,hyponym_to_hypernym,n
gang,tool,hypernymy,hyponym_to_hypernym,n
statistician,calculator,hypernymy,hyponym_to_hypernym,n
drill,baboon,hypernymy,hyponym_to_hypernym,n
relinquishment,renunciation,hypernymy,hyponym_to_hypernym,n
repulsion,force,hypernymy,hyponym_to_hypernym,n
stonewaller,obstructionist,hypernymy,hyponym_to_hypernym,n
prodigy,exemplar,hypernymy,hyponym_to_hypernym,n
algidity,collapse,hypernymy,hyponym_to_hypernym,n
butterfish,percoid,hypernymy,hyponym_to_hypernym,n
glycogen,polysaccharide,hypernymy,hyponym_to_hypernym,n
frontier,wilderness,hypernymy,hyponym_to_hypernym,n
plat,map,hypernymy,hyponym_to_hypernym,n
vicuna,fabric,hypernymy,hyponym_to_hypernym,n
account,statement,hypernymy,hyponym_to_hypernym,n
cheapjack,peddler,hypernymy,hyponym_to_hypernym,n
cleat,fastener,hypernymy,hyponym_to_hypernym,n
impression,imprint,hypernymy,hyponym_to_hypernym,n
nasalization,articulation,hypernymy,hyponym_to_hypernym,n
story,fiction,hypernymy,hyponym_to_hypernym,n
fesse,ordinary,hypernymy,hyponym_to_hypernym,n
installment,text,hypernymy,hyponym_to_hypernym,n
alchemy,pseudoscience,hypernymy,hyponym_to_hypernym,n
company,institution,hypernymy,hyponym_to_hypernym,n
hotness,spiciness,hypernymy,hyponym_to_hypernym,n
sumac,shrub,hypernymy,hyponym_to_hypernym,n
honorableness,righteousness,hypernymy,hyponym_to_hypernym,n
pull,force,hypernymy,hyponym_to_hypernym,n
sluicegate,regulator,hypernymy,hyponym_to_hypernym,n
electroretinogram,graph,hypernymy,hyponym_to_hypernym,n
potato,vine,hypernymy,hyponym_to_hypernym,n
charity,giving,hypernymy,hyponym_to_hypernym,n
skidder,person,hypernymy,hyponym_to_hypernym,n
stone,coldness,hypernymy,hyponym_to_hypernym,n
tearjerker,narrative,hypernymy,hyponym_to_hypernym,n
numeration,naming,hypernymy,hyponym_to_hypernym,n
bread,starches,hypernymy,hyponym_to_hypernym,n
venture,business,hypernymy,hyponym_to_hypernym,n
weld,joint,hypernymy,hyponym_to_hypernym,n
hypodermic,syringe,hypernymy,hyponym_to_hypernym,n
fly,hit,hypernymy,hyponym_to_hypernym,n
grevillea,shrub,hypernymy,hyponym_to_hypernym,n
point,end,hypernymy,hyponym_to_hypernym,n
bergamot,orange,hypernymy,hyponym_to_hypernym,n
family,taxon,hypernymy,hyponym_to_hypernym,n
count,noble,hypernymy,hyponym_to_hypernym,n
roe,egg,hypernymy,hyponym_to_hypernym,n
exorcism,supernaturalism,hypernymy,hyponym_to_hypernym,n
chicken,fowl,hypernymy,hyponym_to_hypernym,n
deviation,statistic,hypernymy,hyponym_to_hypernym,n
nun,buoy,hypernymy,hyponym_to_hypernym,n
obligation,state,hypernymy,hyponym_to_hypernym,n
salwar,trouser,hypernymy,hyponym_to_hypernym,n
deliberation,discussion,hypernymy,hyponym_to_hypernym,n
syndication,organization,hypernymy,hyponym_to_hypernym,n
struggler,person,hypernymy,hyponym_to_hypernym,n
entomologist,zoologist,hypernymy,hyponym_to_hypernym,n
communications,discipline,hypernymy,hyponym_to_hypernym,n
creole,tongue,hypernymy,hyponym_to_hypernym,n
fueling,provision,hypernymy,hyponym_to_hypernym,n
tripod,rack,hypernymy,hyponym_to_hypernym,n
lurch,motion,hypernymy,hyponym_to_hypernym,n
ranger,official,hypernymy,hyponym_to_hypernym,n
canteen,flask,hypernymy,hyponym_to_hypernym,n
self,person,hypernymy,hyponym_to_hypernym,n
pronation,rotation,hypernymy,hyponym_to_hypernym,n
marseille,fabric,hypernymy,hyponym_to_hypernym,n
mericarp,carpel,hypernymy,hyponym_to_hypernym,n
rest,support,hypernymy,hyponym_to_hypernym,n
constituent,syntagma,hypernymy,hyponym_to_hypernym,n
thorite,mineral,hypernymy,hyponym_to_hypernym,n
roe,seafood,hypernymy,hyponym_to_hypernym,n
parts,environment,hypernymy,hyponym_to_hypernym,n
celeriac,herb,hypernymy,hyponym_to_hypernym,n
maneuverer,planner,hypernymy,hyponym_to_hypernym,n
plate,entree,hypernymy,hyponym_to_hypernym,n
arability,quality,hypernymy,hyponym_to_hypernym,n
halloo,cry,hypernymy,hyponym_to_hypernym,n
leaflet,leaf,hypernymy,hyponym_to_hypernym,n
turret,tower,hypernymy,hyponym_to_hypernym,n
teaspoon,containerful,hypernymy,hyponym_to_hypernym,n
sanatorium,hospital,hypernymy,hyponym_to_hypernym,n
whole,concept,hypernymy,hyponym_to_hypernym,n
palometa,butterfish,hypernymy,hyponym_to_hypernym,n
lopsidedness,asymmetry,hypernymy,hyponym_to_hypernym,n
utmost,limit,hypernymy,hyponym_to_hypernym,n
approbation,approval,hypernymy,hyponym_to_hypernym,n
bluefish,percoid,hypernymy,hyponym_to_hypernym,n
idolater,heathen,hypernymy,hyponym_to_hypernym,n
hiker,pedestrian,hypernymy,hyponym_to_hypernym,n
keelson,beam,hypernymy,hyponym_to_hypernym,n
nasal,consonant,hypernymy,hyponym_to_hypernym,n
eggbeater,beater,hypernymy,hyponym_to_hypernym,n
charlotte,dessert,hypernymy,hyponym_to_hypernym,n
groupware,software,hypernymy,hyponym_to_hypernym,n
foreignness,quality,hypernymy,hyponym_to_hypernym,n
adenoidectomy,ablation,hypernymy,hyponym_to_hypernym,n
fourth,rank,hypernymy,hyponym_to_hypernym,n
junta,clique,hypernymy,hyponym_to_hypernym,n
bloomer,flower,hypernymy,hyponym_to_hypernym,n
coven,assembly,hypernymy,hyponym_to_hypernym,n
melatonin,hormone,hypernymy,hyponym_to_hypernym,n
accessory,component,hypernymy,hyponym_to_hypernym,n
bulkhead,partition,hypernymy,hyponym_to_hypernym,n
turbulence,inclemency,hypernymy,hyponym_to_hypernym,n
adaptability,ability,hypernymy,hyponym_to_hypernym,n
bay,horse,hypernymy,hyponym_to_hypernym,n
mortise,hole,hypernymy,hyponym_to_hypernym,n
mutism,condition,hypernymy,hyponym_to_hypernym,n
docent,teacher,hypernymy,hyponym_to_hypernym,n
warning,informing,hypernymy,hyponym_to_hypernym,n
chef,cook,hypernymy,hyponym_to_hypernym,n
alb,vestment,hypernymy,hyponym_to_hypernym,n
pyxidium,fruit,hypernymy,hyponym_to_hypernym,n
male,person,hypernymy,hyponym_to_hypernym,n
divorce,separation,hypernymy,hyponym_to_hypernym,n
thrombocytosis,symptom,hypernymy,hyponym_to_hypernym,n
weekender,vacationer,hypernymy,hyponym_to_hypernym,n
aphaeresis,omission,hypernymy,hyponym_to_hypernym,n
murmur,symptom,hypernymy,hyponym_to_hypernym,n
leper,outcast,hypernymy,hyponym_to_hypernym,n
time,reading,hypernymy,hyponym_to_hypernym,n
papyrus,sedge,hypernymy,hyponym_to_hypernym,n
strength,prosperity,hypernymy,hyponym_to_hypernym,n
valence,power,hypernymy,hyponym_to_hypernym,n
dithyramb,address,hypernymy,hyponym_to_hypernym,n
milieu,environment,hypernymy,hyponym_to_hypernym,n
engagement,contact,hypernymy,hyponym_to_hypernym,n
ranger,fireman,hypernymy,hyponym_to_hypernym,n
agent,cause,hypernymy,hyponym_to_hypernym,n
reconstruction,interpretation,hypernymy,hyponym_to_hypernym,n
sandalwood,wood,hypernymy,hyponym_to_hypernym,n
grid,facility,hypernymy,hyponym_to_hypernym,n
birthday,date,hypernymy,hyponym_to_hypernym,n
bullbrier,vine,hypernymy,hyponym_to_hypernym,n
object,computing,hypernymy,hyponym_to_hypernym,n
puccoon,herb,hypernymy,hyponym_to_hypernym,n
pitting,corrosion,hypernymy,hyponym_to_hypernym,n
clianthus,shrub,hypernymy,hyponym_to_hypernym,n
bauxite,mineral,hypernymy,hyponym_to_hypernym,n
repertory,collection,hypernymy,hyponym_to_hypernym,n
albacore,tuna,hypernymy,hyponym_to_hypernym,n
affinity,kinship,hypernymy,hyponym_to_hypernym,n
ozonide,compound,hypernymy,hyponym_to_hypernym,n
blackcap,gull,hypernymy,hyponym_to_hypernym,n
beastliness,malevolence,hypernymy,hyponym_to_hypernym,n
repudiation,rejection,hypernymy,hyponym_to_hypernym,n
sandbagger,deceiver,hypernymy,hyponym_to_hypernym,n
sludge,precipitate,hypernymy,hyponym_to_hypernym,n
domestication,adjustment,hypernymy,hyponym_to_hypernym,n
jitter,noise,hypernymy,hyponym_to_hypernym,n
rosary,beads,hypernymy,hyponym_to_hypernym,n
honker,goose,hypernymy,hyponym_to_hypernym,n
stenopterygius,ichthyosaur,hypernymy,hyponym_to_hypernym,n
campfire,fire,hypernymy,hyponym_to_hypernym,n
headshot,photograph,hypernymy,hyponym_to_hypernym,n
generalization,idea,hypernymy,hyponym_to_hypernym,n
loin,cut,hypernymy,hyponym_to_hypernym,n
occasion,time,hypernymy,hyponym_to_hypernym,n
letterpress,printing,hypernymy,hyponym_to_hypernym,n
holotype,model,hypernymy,hyponym_to_hypernym,n
capitulum,crown,hypernymy,hyponym_to_hypernym,n
hemerobiid,lacewing,hypernymy,hyponym_to_hypernym,n
lysogeny,condition,hypernymy,hyponym_to_hypernym,n
issue,provision,hypernymy,hyponym_to_hypernym,n
abetalipoproteinemia,lipidosis,hypernymy,hyponym_to_hypernym,n
waffler,communicator,hypernymy,hyponym_to_hypernym,n
smut,fungus,hypernymy,hyponym_to_hypernym,n
radiogram,photograph,hypernymy,hyponym_to_hypernym,n
simal,tree,hypernymy,hyponym_to_hypernym,n
sforzando,chord,hypernymy,hyponym_to_hypernym,n
fanaticism,intolerance,hypernymy,hyponym_to_hypernym,n
eggbeater,mixer,hypernymy,hyponym_to_hypernym,n
etiquette,rule,hypernymy,hyponym_to_hypernym,n
picture,situation,hypernymy,hyponym_to_hypernym,n
circumcision,abscission,hypernymy,hyponym_to_hypernym,n
past,time,hypernymy,hyponym_to_hypernym,n
wrinkle,depression,hypernymy,hyponym_to_hypernym,n
fret,spot,hypernymy,hyponym_to_hypernym,n
culvert,drain,hypernymy,hyponym_to_hypernym,n
homozygote,zygote,hypernymy,hyponym_to_hypernym,n
sertularian,hydrozoan,hypernymy,hyponym_to_hypernym,n
inversion,abnormality,hypernymy,hyponym_to_hypernym,n
footboard,panel,hypernymy,hyponym_to_hypernym,n
proficiency,competence,hypernymy,hyponym_to_hypernym,n
nationalism,doctrine,hypernymy,hyponym_to_hypernym,n
squirter,plaything,hypernymy,hyponym_to_hypernym,n
clubroom,room,hypernymy,hyponym_to_hypernym,n
yogi,philosopher,hypernymy,hyponym_to_hypernym,n
argentinosaur,dinosaur,hypernymy,hyponym_to_hypernym,n
place,vicinity,hypernymy,hyponym_to_hypernym,n
dancer,person,hypernymy,hyponym_to_hypernym,n
pluralist,cleric,hypernymy,hyponym_to_hypernym,n
ornithology,zoology,hypernymy,hyponym_to_hypernym,n
baccarat,cards,hypernymy,hyponym_to_hypernym,n
interdiction,prohibition,hypernymy,hyponym_to_hypernym,n
bluffer,deceiver,hypernymy,hyponym_to_hypernym,n
legitimation,act,hypernymy,hyponym_to_hypernym,n
pachinko,pinball,hypernymy,hyponym_to_hypernym,n
conveyance,transmission,hypernymy,hyponym_to_hypernym,n
wound,distress,hypernymy,hyponym_to_hypernym,n
pinprick,irritation,hypernymy,hyponym_to_hypernym,n
bridle,restraint,hypernymy,hyponym_to_hypernym,n
fingering,touch,hypernymy,hyponym_to_hypernym,n
acetophenetidin,analgesic,hypernymy,hyponym_to_hypernym,n
diamond,tract,hypernymy,hyponym_to_hypernym,n
generality,quality,hypernymy,hyponym_to_hypernym,n
cannon,gun,hypernymy,hyponym_to_hypernym,n
orthoepist,phonologist,hypernymy,hyponym_to_hypernym,n
telerobotics,robotics,hypernymy,hyponym_to_hypernym,n
ballplayer,athlete,hypernymy,hyponym_to_hypernym,n
indecorum,impropriety,hypernymy,hyponym_to_hypernym,n
stork,wader,hypernymy,hyponym_to_hypernym,n
bonefish,malacopterygian,hypernymy,hyponym_to_hypernym,n
classroom,room,hypernymy,hyponym_to_hypernym,n
handiness,convenience,hypernymy,hyponym_to_hypernym,n
millenary,thousand,hypernymy,hyponym_to_hypernym,n
metaphysis,process,hypernymy,hyponym_to_hypernym,n
aspersorium,basin,hypernymy,hyponym_to_hypernym,n
decile,mark,hypernymy,hyponym_to_hypernym,n
gamekeeper,custodian,hypernymy,hyponym_to_hypernym,n
deletion,editing,hypernymy,hyponym_to_hypernym,n
vane,fin,hypernymy,hyponym_to_hypernym,n
trigger,causing,hypernymy,hyponym_to_hypernym,n
shoetree,device,hypernymy,hyponym_to_hypernym,n
birdseed,feed,hypernymy,hyponym_to_hypernym,n
calisaya,cinchona,hypernymy,hyponym_to_hypernym,n
adsorbent,sorbent,hypernymy,hyponym_to_hypernym,n
jammer,transmitter,hypernymy,hyponym_to_hypernym,n
doge,judge,hypernymy,hyponym_to_hypernym,n
colored,blackamoor,hypernymy,hyponym_to_hypernym,n
plonk,noise,hypernymy,hyponym_to_hypernym,n
crampon,spike,hypernymy,hyponym_to_hypernym,n
reason,fact,hypernymy,hyponym_to_hypernym,n
hatband,band,hypernymy,hyponym_to_hypernym,n
episteme,cognition,hypernymy,hyponym_to_hypernym,n
footwork,maneuver,hypernymy,hyponym_to_hypernym,n
disapproval,dislike,hypernymy,hyponym_to_hypernym,n
appendage,part,hypernymy,hyponym_to_hypernym,n
grassfire,fire,hypernymy,hyponym_to_hypernym,n
saffron,crocus,hypernymy,hyponym_to_hypernym,n
hellfire,perdition,hypernymy,hyponym_to_hypernym,n
sincerity,naturalness,hypernymy,hyponym_to_hypernym,n
footwall,wall,hypernymy,hyponym_to_hypernym,n
incubation,care,hypernymy,hyponym_to_hypernym,n
deuce,tie,hypernymy,hyponym_to_hypernym,n
mortgagee,holder,hypernymy,hyponym_to_hypernym,n
dolphinfish,percoid,hypernymy,hyponym_to_hypernym,n
kingdom,domain,hypernymy,hyponym_to_hypernym,n
tandoor,oven,hypernymy,hyponym_to_hypernym,n
seesaw,plaything,hypernymy,hyponym_to_hypernym,n
grassfinch,weaver,hypernymy,hyponym_to_hypernym,n
insistence,demand,hypernymy,hyponym_to_hypernym,n
ending,happening,hypernymy,hyponym_to_hypernym,n
caller,leader,hypernymy,hyponym_to_hypernym,n
tectonics,morphology,hypernymy,hyponym_to_hypernym,n
scenery,vicinity,hypernymy,hyponym_to_hypernym,n
fatherland,country,hypernymy,hyponym_to_hypernym,n
panpipe,pipe,hypernymy,hyponym_to_hypernym,n
synecdoche,trope,hypernymy,hyponym_to_hypernym,n
lie,falsehood,hypernymy,hyponym_to_hypernym,n
declension,inflection,hypernymy,hyponym_to_hypernym,n
doodad,stuff,hypernymy,hyponym_to_hypernym,n
tremolite,asbestos,hypernymy,hyponym_to_hypernym,n
accusation,assertion,hypernymy,hyponym_to_hypernym,n
picador,bullfighter,hypernymy,hyponym_to_hypernym,n
heather,color,hypernymy,hyponym_to_hypernym,n
