word1,word2
stuck,unstuck
enforced,unenforced
enthusiastic,unenthusiastic
immutable,mutable
imprudent,prudent
painted,unpainted
arbitrable,nonarbitrable
dramatic,lyric
descriptive,prescriptive
direct,indirect
familiar,unfamiliar
autologous,homologous
receptive,unreceptive
decreasing,increasing
mown,unmown
monolingual,multilingual
dangerous,safe
complimentary,uncomplimentary
tender,tough
anadromous,catadromous
certain,uncertain
priestly,unpriestly
cool,warm
asymmetrical,symmetrical
popular,unpopular
active,inactive
counterfeit,genuine
capitalistic,socialistic
primary,secondary
closed,open
connected,unconnected
beaked,beakless
unvoiced,voiced
eastern,western
systematic,unsystematic
cleared,uncleared
sour,sweet
punctual,unpunctual
causative,noncausative
tongued,tongueless
long,short
disingenuous,ingenuous
addictive,nonaddictive
composed,discomposed
compartmented,uncompartmented
obtrusive,unobtrusive
acceptive,rejective
encumbered,unencumbered
displeasing,pleasing
diluted,undiluted
made,unmade
repeatable,unrepeatable
bipedal,quadrupedal
tracked,trackless
productive,unproductive
endogamous,exogamous
curly,straight
opposed,unopposed
invalid,valid
fresh,stale
intensifying,moderating
extrospective,introspective
cubic,linear
continent,incontinent
afloat,aground
shockable,unshockable
fit,unfit
endemic,epidemic
accordant,discordant
irremovable,removable
convergent,divergent
impermissible,permissible
actual,potential
infectious,noninfectious
alterable,unalterable
central,peripheral
bedded,bedless
monoclinic,triclinic
edible,inedible
impermanent,permanent
talented,untalented
heavy,light
multidimensional,unidimensional
dominant,subordinate
abstemious,gluttonous
anionic,cationic
close,distant
intellectual,nonintellectual
autumnal,wintry
dextral,sinistral
dehiscent,indehiscent
hypotensive,normotensive
acute,chronic
attributable,unattributable
nonstandard,standard
congruent,incongruent
king,queen
appear,disappear
improper,proper
advantage,disadvantage
absorbency,nonabsorbency
inviolable,violable
beginning,end
end,middle
ambiguity,unambiguity
equivocalness,unequivocalness
apogee,perigee
limbed,limbless
cheer,complain
friendly,unfriendly
tasteless,tasty
consummated,unconsummated
owned,unowned
inoperative,operative
succumb,survive
consonantal,vocalic
outbid,underbid
adaptability,unadaptability
integrated,segregated
comparable,incomparable
align,skew
distinct,indistinct
subjacent,superjacent
popularity,unpopularity
sarcastic,unsarcastic
inferior,superior
agreeable,disagreeable
capable,incapable
clarity,obscurity
clearness,unclearness
overcharge,undercharge
northern,southern
conception,misconception
manly,unmanly
summery,vernal
autumnal,vernal
vernal,wintry
specialized,unspecialized
thinkable,unthinkable
belted,unbelted
bodied,unbodied
deaf,hearing
cut,uncut
precocious,retarded
disrespectful,respectful
awned,awnless
keep,lose
covert,overt
topless,topped
explosive,nonexplosive
disorganized,organized
impious,pious
inhabited,uninhabited
child,parent
man,woman
illegibility,legibility
essential,inessential
nonretractile,retractile
insecure,secure
informative,uninformative
immaturity,maturity
binucleate,mononuclear
mononuclear,trinucleate
affected,unaffected
hard,soft
multiform,uniform
inoffensive,offensive
majority,minority
unweave,weave
intangibility,tangibility
impalpability,palpability
coherent,incoherent
antitype,type
lose,win
few,many
generality,particularity
scramble,unscramble
sympathetic,unsympathetic
monotheism,polytheism
ionic,nonionic
cognizance,incognizance
impracticality,practicality
location,studio
nonprofessional,professional
important,unimportant
backed,backless
competitive,noncompetitive
obstructed,unobstructed
oleophilic,oleophobic
dry,wet
clean,dirty
shortness,tallness
articulate,inarticulate
contented,discontented
false,true
permissiveness,unpermissiveness
consolable,inconsolable
necked,neckless
masochistic,sadistic
active,passive
corrected,uncorrected
anonymous,onymous
roofed,roofless
achondritic,chondritic
dematerialize,materialize
dematerialise,materialise
difference,sameness
color,discolor
brotherly,sisterly
incoming,outgoing
related,unrelated
counterrevolutionary,revolutionary
desynchronize,synchronize
desynchronise,synchronise
downmarket,upmarket
dioecious,monoecious
exclude,include
breasted,breastless
effective,ineffective
immediate,mediate
directness,indirectness
disposable,nondisposable
predictable,unpredictable
maximum,minimum
accelerate,decelerate
strength,weakness
deductible,nondeductible
immodest,modest
convertible,inconvertible
hit,miss
involuntary,voluntary
conserve,waste
instructive,uninstructive
local,national
prophetic,unprophetic
gain,reduce
hipless,hipped
crooked,straight
power,powerlessness
powerfulness,powerlessness
alive,dead
astigmatism,stigmatism
denaturalize,naturalize
bowed,plucked
ability,inability
distributary,tributary
cubic,planar
linguistic,nonlinguistic
exempt,nonexempt
impenetrable,penetrable
artesian,subartesian
expedient,inexpedient
matched,mismatched
combed,uncombed
cold,hot
tempered,untempered
servile,unservile
thoughtful,thoughtless
front,rear
opposable,unopposable
baptized,unbaptized
critical,noncritical
loved,unloved
shared,unshared
invisible,visible
hypersomnia,insomnia
altered,unaltered
forgettable,unforgettable
appealable,unappealable
perplexed,unperplexed
malicious,unmalicious
roughen,smooth
concealed,unconcealed
courteous,discourteous
guided,unguided
intolerable,tolerable
aptness,inaptness
appositeness,inappositeness
action,inaction
activity,inactivity
disingenuousness,ingenuousness
reasonable,unreasonable
hydric,xeric
mesic,xeric
spell,unspell
aplacental,placental
invulnerability,vulnerability
implausible,plausible
anodic,cathodic
alternating,direct
afraid,unafraid
chaste,unchaste
breathing,breathless
beneficence,maleficence
magnetic,nonmagnetic
hook,unhook
dissonance,harmony
qualified,unqualified
brighten,darken
military,unmilitary
alarming,unalarming
harness,unharness
equitable,inequitable
clergy,laity
congruous,incongruous
righteousness,unrighteousness
dispensable,indispensable
inflected,uninflected
bidirectional,unidirectional
junior,senior
dethrone,enthrone
disunify,unify
finiteness,infiniteness
registered,unregistered
clog,unclog
attach,detach
poor,rich
high,low
brave,timid
rough,smooth
activation,deactivation
explode,implode
costive,laxative
fixed,unfixed
disinfect,infect
derestrict,restrict
informed,uninformed
complicate,simplify
malted,unmalted
enter,exit
intelligible,unintelligible
unyoke,yoke
forget,mind
reassuring,unreassuring
classified,unclassified
profitable,unprofitable
ametabolic,metabolic
like,unlike
mendacity,veracity
dominant,recessive
careful,careless
endocrine,exocrine
pretentiousness,unpretentiousness
lax,tense
humorless,humorous
abstract,concrete
relaxed,tense
divest,invest
nonruminant,ruminant
exchangeable,unexchangeable
start,stop
known,unknown
sleep,wake
failure,success
saddle,unsaddle
financial,nonfinancial
cooked,raw
evenness,unevenness
consumptive,generative
found,lost
passionate,passionless
rotor,stator
avow,disavow
disjoin,join
disservice,service
unweaned,weaned
necessitate,obviate
shuttered,unshuttered
obverse,reverse
comprehensive,noncomprehensive
friendly,hostile
claim,forfeit
flowering,flowerless
biennial,perennial
annual,biennial
competition,cooperation
nonracial,racial
animate,inanimate
immodesty,modesty
soled,soleless
tuneful,tuneless
dullness,sharpness
defeat,victory
consecrate,desecrate
afferent,efferent
free,unfree
restful,restless
intermediate,terminal
sensational,unsensational
illiterate,literate
conspicuous,inconspicuous
conservative,liberal
inner,outer
campylotropous,orthotropous
functional,organic
industrial,nonindustrial
idle,run
immobile,mobile
postdate,predate
egalitarian,elitist
active,quiet
troubled,untroubled
delicate,rugged
advance,back
acaulescent,caulescent
shrink,stretch
astomatous,stomatous
arboreal,nonarboreal
extinguish,ignite
acute,obtuse
structured,unstructured
destroyed,preserved
abundance,scarcity
imponderable,ponderable
clip,unclip
bridgeable,unbridgeable
nonprehensile,prehensile
frail,robust
humaneness,inhumaneness
insatiate,satiate
perinatal,postnatal
perinatal,prenatal
punitive,rehabilitative
publishable,unpublishable
concentric,eccentric
compression,decompression
irregular,regular
penalty,reward
asleep,awake
articulated,unarticulated
least,most
focused,unfocused
revived,unrevived
abience,adience
identifiable,unidentifiable
nonreversible,reversible
conscious,unconscious
sleepiness,wakefulness
hate,love
hydrophilic,hydrophobic
restraint,unrestraint
correct,incorrect
right,wrong
dress,undress
favorable,unfavorable
improbable,probable
human,nonhuman
sitter,stander
bright,dull
unwaxed,waxed
backward,forward
clearheaded,confused
cenobite,eremite
button,unbutton
implacable,placable
recoverable,unrecoverable
oviparous,viviparous
ovoviviparous,viviparous
beseeching,imperative
confine,free
deciduous,evergreen
corporeality,incorporeality
spirited,spiritless
irresistible,resistible
deprive,enrich
directional,omnidirectional
disenfranchised,enfranchised
exhausted,unexhausted
domineering,submissive
winged,wingless
inward,outward
insensitive,sensitive
humane,inhumane
pack,unpack
assisted,unassisted
insignificant,significant
nidicolous,nidifugous
cerebral,emotional
fresh,preserved
conventional,nuclear
social,unsocial
harmonic,nonharmonic
acuteness,obtuseness
adventurous,unadventurous
faithful,unfaithful
constipated,unconstipated
counterfactuality,factuality
abnormal,normal
aerobic,anaerobic
acyclic,cyclic
lentic,lotic
carnivorous,herbivorous
carnivorous,omnivorous
carnivorous,insectivorous
combined,uncombined
extensive,intensive
certainty,uncertainty
lash,unlash
gracious,ungracious
acrocarpous,pleurocarpous
antagonistic,synergistic
borrower,lender
animated,unanimated
distrustful,trustful
civil,sidereal
acceleration,deceleration
arrange,disarrange
noticed,unnoticed
hide,show
awed,unawed
fall,rise
inclined,vertical
horizontal,vertical
useful,useless
preventable,unpreventable
fail,pass
nonrandom,random
loosening,tightening
strain,unstrain
effortfulness,effortlessness
moved,unmoved
complex,simple
impotent,potent
rhythmical,unrhythmical
fat,thin
fasten,unfasten
far,near
linear,nonlinear
distinguishable,indistinguishable
considerate,inconsiderate
improvident,provident
appetizing,unappetizing
monophonic,polyphonic
live,recorded
multinucleate,uninucleate
dull,sharp
enforce,exempt
desensitizing,sensitizing
eager,uneager
lost,won
pin,unpin
calcify,decalcify
printable,unprintable
alert,unalert
fast,slow
hungry,thirsty
employment,unemployment
impenitent,penitent
repentant,unrepentant
irreconcilable,reconcilable
fastidious,unfastidious
connectedness,unconnectedness
strengthening,weakening
affirmative,negative
negative,positive
benign,malign
progress,regress
carefulness,carelessness
disoblige,oblige
contrasty,flat
denitrify,nitrify
irrational,rational
favorableness,unfavorableness
tastefulness,tastelessness
manageable,unmanageable
narrow,widen
matriarchal,patriarchal
contestable,incontestable
implausibility,plausibility
active,extinct
dove,hawk
decisive,indecisive
allogeneic,xenogeneic
