word1,word2,direction
debtor,defaulter,hypernym_to_hyponym
fast,diet,hypernym_to_hyponym
medicine,hygiene,hypernym_to_hyponym
walk,march,hypernym_to_hyponym
limb,flipper,hypernym_to_hyponym
stand,bleachers,hypernym_to_hyponym
symptom,cardiomegaly,hypernym_to_hyponym
object,land,hypernym_to_hyponym
teiid,whiptail,hypernym_to_hyponym
farmer,tiller,hypernym_to_hyponym
coldness,chill,hypernym_to_hyponym
cyprinid,minnow,hypernym_to_hyponym
symptom,bubo,hypernym_to_hyponym
coldness,frostiness,hypernym_to_hyponym
object,snake,hypernym_to_hyponym
object,hail,hypernym_to_hyponym
rustic,peasant,hypernym_to_hyponym
symptom,diarrhea,hypernym_to_hyponym
garment,raglan,hypernym_to_hyponym
semiconductor,silicon,hypernym_to_hyponym
side,dockside,hypernym_to_hyponym
symptom,hypercholesterolemia,hypernym_to_hyponym
exhalation,blow,hypernym_to_hyponym
loss,forfeit,hypernym_to_hyponym
magnitude,order,hypernym_to_hyponym
relative,sibling,hypernym_to_hyponym
object,neighbor,hypernym_to_hyponym
symptom,amenorrhea,hypernym_to_hyponym
ptarmigan,moorfowl,hypernym_to_hyponym
gumption,nous,hypernym_to_hyponym
roarer,crier,hypernym_to_hyponym
gibberish,babble,hypernym_to_hyponym
narrator,griot,hypernym_to_hyponym
stew,purloo,hypernym_to_hyponym
formation,split,hypernym_to_hyponym
symptom,hemoglobinemia,hypernym_to_hyponym
search,shakedown,hypernym_to_hyponym
alcohol,methanol,hypernym_to_hyponym
medicine,nephrology,hypernym_to_hyponym
chalcedony,chrysoprase,hypernym_to_hyponym
side,hand,hypernym_to_hyponym
antipsychotic,loxapine,hypernym_to_hyponym
search,scouring,hypernym_to_hyponym
search,quest,hypernym_to_hyponym
prediction,prophecy,hypernym_to_hyponym
completeness,comprehensiveness,hypernym_to_hyponym
gonadotropin,prolactin,hypernym_to_hyponym
antifreeze,glycol,hypernym_to_hyponym
occurrence,allopatry,hypernym_to_hyponym
absorbent,sponge,hypernym_to_hyponym
limb,thigh,hypernym_to_hyponym
symptom,effect,hypernym_to_hyponym
bullfight,novillada,hypernym_to_hyponym
garment,neckwear,hypernym_to_hyponym
penicillin,piperacillin,hypernym_to_hyponym
relative,agnate,hypernym_to_hyponym
prediction,prognosis,hypernym_to_hyponym
symptom,festination,hypernym_to_hyponym
farmer,dairyman,hypernym_to_hyponym
antidiabetic,glyburide,hypernym_to_hyponym
idiom,ruralism,hypernym_to_hyponym
symptom,eruption,hypernym_to_hyponym
extravasation,urocele,hypernym_to_hyponym
antipsychotic,clozapine,hypernym_to_hyponym
moneran,archaebacteria,hypernym_to_hyponym
medicine,bacteriology,hypernym_to_hyponym
alcohol,glycerol,hypernym_to_hyponym
medicine,traumatology,hypernym_to_hyponym
forgetfulness,obliviousness,hypernym_to_hyponym
shore,lakeside,hypernym_to_hyponym
faculty,memory,hypernym_to_hyponym
speech,soliloquy,hypernym_to_hyponym
garment,reversible,hypernym_to_hyponym
object,vagabond,hypernym_to_hyponym
deacon,deaconess,hypernym_to_hyponym
object,draw,hypernym_to_hyponym
relative,descendant,hypernym_to_hyponym
representation,stereotype,hypernym_to_hyponym
symptom,nausea,hypernym_to_hyponym
neurotic,claustrophobe,hypernym_to_hyponym
louse,crab,hypernym_to_hyponym
gait,skip,hypernym_to_hyponym
acting,mime,hypernym_to_hyponym
agreement,unison,hypernym_to_hyponym
expanse,sheet,hypernym_to_hyponym
address,speechmaking,hypernym_to_hyponym
businessman,owner,hypernym_to_hyponym
symptom,apnea,hypernym_to_hyponym
garment,suit,hypernym_to_hyponym
speech,cue,hypernym_to_hyponym
homopteran,spittlebug,hypernym_to_hyponym
podetium,seta,hypernym_to_hyponym
illusion,bubble,hypernym_to_hyponym
medicine,dermatology,hypernym_to_hyponym
gibberish,abracadabra,hypernym_to_hyponym
symptom,purulence,hypernym_to_hyponym
symptom,palpitation,hypernym_to_hyponym
incomprehensibility,noise,hypernym_to_hyponym
exhalation,puffing,hypernym_to_hyponym
symptom,palsy,hypernym_to_hyponym
foreperson,forewoman,hypernym_to_hyponym
incomprehensibility,inscrutability,hypernym_to_hyponym
symptom,indigestion,hypernym_to_hyponym
antidiabetic,metformin,hypernym_to_hyponym
medicine,rheumatology,hypernym_to_hyponym
swindle,holdout,hypernym_to_hyponym
symptom,diuresis,hypernym_to_hyponym
reform,moralization,hypernym_to_hyponym
object,keepsake,hypernym_to_hyponym
examiner,scrutineer,hypernym_to_hyponym
sanitariness,sanitation,hypernym_to_hyponym
farmer,contadino,hypernym_to_hyponym
astilbe,spirea,hypernym_to_hyponym
expertness,sophistication,hypernym_to_hyponym
membrane,drumhead,hypernym_to_hyponym
farmer,agriculturist,hypernym_to_hyponym
ade,limeade,hypernym_to_hyponym
prediction,extropy,hypernym_to_hyponym
stew,fricassee,hypernym_to_hyponym
symptom,hyperkalemia,hypernym_to_hyponym
band,armband,hypernym_to_hyponym
cyprinid,roach,hypernym_to_hyponym
naivete,simplicity,hypernym_to_hyponym
acting,impersonation,hypernym_to_hyponym
peafowl,peachick,hypernym_to_hyponym
symptom,scar,hypernym_to_hyponym
deference,props,hypernym_to_hyponym
symptom,natriuresis,hypernym_to_hyponym
symptom,heartburn,hypernym_to_hyponym
address,impromptu,hypernym_to_hyponym
medicine,urology,hypernym_to_hyponym
symptom,lymphuria,hypernym_to_hyponym
opinion,eyes,hypernym_to_hyponym
bedroom,boudoir,hypernym_to_hyponym
symptom,hardening,hypernym_to_hyponym
symptom,albuminuria,hypernym_to_hyponym
symptom,keratomalacia,hypernym_to_hyponym
symptom,menorrhagia,hypernym_to_hyponym
reform,housecleaning,hypernym_to_hyponym
agreement,concurrence,hypernym_to_hyponym
acting,heroics,hypernym_to_hyponym
aldose,aldohexose,hypernym_to_hyponym
semiconductor,germanium,hypernym_to_hyponym
hypertrophy,elephantiasis,hypernym_to_hyponym
thinness,fluidity,hypernym_to_hyponym
band,watchband,hypernym_to_hyponym
gown,vestment,hypernym_to_hyponym
chalcedony,onyx,hypernym_to_hyponym
object,curio,hypernym_to_hyponym
mover,advancer,hypernym_to_hyponym
opinion,idea,hypernym_to_hyponym
symptom,myoglobinuria,hypernym_to_hyponym
chin,buccula,hypernym_to_hyponym
loop,belt,hypernym_to_hyponym
improvement,refinement,hypernym_to_hyponym
garment,romper,hypernym_to_hyponym
aggression,plundering,hypernym_to_hyponym
alcohol,sterol,hypernym_to_hyponym
symptom,hemoglobinuria,hypernym_to_hyponym
pull,tug,hypernym_to_hyponym
graphite,pencil,hypernym_to_hyponym
plot,storyline,hypernym_to_hyponym
stanza,strophe,hypernym_to_hyponym
medicine,neurology,hypernym_to_hyponym
object,paring,hypernym_to_hyponym
partisan,dogmatist,hypernym_to_hyponym
hockey,shinny,hypernym_to_hyponym
gait,flounce,hypernym_to_hyponym
stew,ragout,hypernym_to_hyponym
speech,monologue,hypernym_to_hyponym
refining,rectification,hypernym_to_hyponym
limb,hindlimb,hypernym_to_hyponym
limb,crus,hypernym_to_hyponym
symptom,lipemia,hypernym_to_hyponym
garment,camlet,hypernym_to_hyponym
homopteran,whitefly,hypernym_to_hyponym
object,triviality,hypernym_to_hyponym
mover,scrambler,hypernym_to_hyponym
ade,orangeade,hypernym_to_hyponym
garment,breechcloth,hypernym_to_hyponym
algebra,quadratics,hypernym_to_hyponym
death,rest,hypernym_to_hyponym
symptom,monocytosis,hypernym_to_hyponym
indicator,gnomon,hypernym_to_hyponym
symptom,hematuria,hypernym_to_hyponym
symptom,steatorrhea,hypernym_to_hyponym
aspect,durative,hypernym_to_hyponym
enclosure,packing,hypernym_to_hyponym
magnitude,amplitude,hypernym_to_hyponym
transition,jump,hypernym_to_hyponym
medicine,neuropsychiatry,hypernym_to_hyponym
relative,spouse,hypernym_to_hyponym
prediction,horoscope,hypernym_to_hyponym
mover,traverser,hypernym_to_hyponym
object,ice,hypernym_to_hyponym
medicine,angiology,hypernym_to_hyponym
grief,dolor,hypernym_to_hyponym
mover,puller,hypernym_to_hyponym
symptom,cough,hypernym_to_hyponym
antipsychotic,haloperidol,hypernym_to_hyponym
convergence,meeting,hypernym_to_hyponym
object,fomite,hypernym_to_hyponym
stew,burgoo,hypernym_to_hyponym
garment,silks,hypernym_to_hyponym
medicine,anesthesiology,hypernym_to_hyponym
chelonian,turtle,hypernym_to_hyponym
search,looking,hypernym_to_hyponym
garment,weeds,hypernym_to_hyponym
indicator,level,hypernym_to_hyponym
reasonableness,sensibleness,hypernym_to_hyponym
alcohol,ethanol,hypernym_to_hyponym
gazebo,belvedere,hypernym_to_hyponym
symptom,sneeze,hypernym_to_hyponym
formation,rig,hypernym_to_hyponym
gait,stalk,hypernym_to_hyponym
direction,tenor,hypernym_to_hyponym
swindle,thimblerig,hypernym_to_hyponym
acting,method,hypernym_to_hyponym
magnitude,size,hypernym_to_hyponym
alcohol,cyclohexanol,hypernym_to_hyponym
incomprehensibility,impenetrability,hypernym_to_hyponym
dereliction,nonfeasance,hypernym_to_hyponym
introspection,examen,hypernym_to_hyponym
metaphysics,ontology,hypernym_to_hyponym
aggression,violence,hypernym_to_hyponym
representation,blur,hypernym_to_hyponym
symptom,uratemia,hypernym_to_hyponym
symptom,abscess,hypernym_to_hyponym
incomprehensibility,obscureness,hypernym_to_hyponym
speech,throwaway,hypernym_to_hyponym
coldness,chilliness,hypernym_to_hyponym
magnitude,triplicity,hypernym_to_hyponym
stanza,quatrain,hypernym_to_hyponym
order,interpellation,hypernym_to_hyponym
garment,peplos,hypernym_to_hyponym
dinosaur,seismosaur,hypernym_to_hyponym
university,varsity,hypernym_to_hyponym
farmer,planter,hypernym_to_hyponym
jack,kingfish,hypernym_to_hyponym
jack,rudderfish,hypernym_to_hyponym
antidiabetic,sulfonylurea,hypernym_to_hyponym
tie,drawstring,hypernym_to_hyponym
larva,wiggler,hypernym_to_hyponym
symptom,pain,hypernym_to_hyponym
medicine,prosthetics,hypernym_to_hyponym
symptom,eosinophilia,hypernym_to_hyponym
division,branch,hypernym_to_hyponym
relative,kinswoman,hypernym_to_hyponym
deference,court,hypernym_to_hyponym
magnitude,bulk,hypernym_to_hyponym
practicability,feasibility,hypernym_to_hyponym
band,bellyband,hypernym_to_hyponym
homopteran,cicada,hypernym_to_hyponym
object,stuff,hypernym_to_hyponym
symptom,hypokalemia,hypernym_to_hyponym
division,department,hypernym_to_hyponym
garment,wraparound,hypernym_to_hyponym
gratification,pleasing,hypernym_to_hyponym
dinosaur,titanosaur,hypernym_to_hyponym
walk,ambulation,hypernym_to_hyponym
dinosaur,iguanodon,hypernym_to_hyponym
bedroom,guestroom,hypernym_to_hyponym
tennis,doubles,hypernym_to_hyponym
peafowl,peacock,hypernym_to_hyponym
sirenian,manatee,hypernym_to_hyponym
pull,extirpation,hypernym_to_hyponym
bluejacket,coastguardsman,hypernym_to_hyponym
passage,lockage,hypernym_to_hyponym
semantics,deixis,hypernym_to_hyponym
hypertrophy,acromegaly,hypernym_to_hyponym
chalcedony,plasma,hypernym_to_hyponym
limb,forearm,hypernym_to_hyponym
cannon,basilisk,hypernym_to_hyponym
hypertrophy,splenomegaly,hypernym_to_hyponym
pine,lodgepole,hypernym_to_hyponym
stanza,couplet,hypernym_to_hyponym
acting,hamming,hypernym_to_hyponym
pastness,recency,hypernym_to_hyponym
address,oratory,hypernym_to_hyponym
favor,turn,hypernym_to_hyponym
gait,pacing,hypernym_to_hyponym
object,hoodoo,hypernym_to_hyponym
overgarment,cloak,hypernym_to_hyponym
symptom,paresthesia,hypernym_to_hyponym
mover,transferer,hypernym_to_hyponym
bob,plumb,hypernym_to_hyponym
rotation,dextrorotation,hypernym_to_hyponym
symptom,uraturia,hypernym_to_hyponym
rustic,hillbilly,hypernym_to_hyponym
compulsion,onomatomania,hypernym_to_hyponym
magnitude,extent,hypernym_to_hyponym
object,shiner,hypernym_to_hyponym
garment,fur,hypernym_to_hyponym
larva,cercaria,hypernym_to_hyponym
object,discard,hypernym_to_hyponym
indicator,scale,hypernym_to_hyponym
acting,business,hypernym_to_hyponym
rotation,spin,hypernym_to_hyponym
sanitariness,hygiene,hypernym_to_hyponym
university,gown,hypernym_to_hyponym
smoke,puffing,hypernym_to_hyponym
outfit,ensemble,hypernym_to_hyponym
object,film,hypernym_to_hyponym
symptom,hyponatremia,hypernym_to_hyponym
stand,grandstand,hypernym_to_hyponym
mover,coaster,hypernym_to_hyponym
observation,stargazing,hypernym_to_hyponym
address,lecture,hypernym_to_hyponym
exoskeleton,plastron,hypernym_to_hyponym
address,inaugural,hypernym_to_hyponym
garment,sackcloth,hypernym_to_hyponym
farmer,rancher,hypernym_to_hyponym
medicine,obstetrics,hypernym_to_hyponym
antipsychotic,prochlorperazine,hypernym_to_hyponym
exhalation,wind,hypernym_to_hyponym
symptom,clubbing,hypernym_to_hyponym
indicator,tidemark,hypernym_to_hyponym
symptom,aminoaciduria,hypernym_to_hyponym
symptom,hypercalciuria,hypernym_to_hyponym
object,formation,hypernym_to_hyponym
moneran,eubacteria,hypernym_to_hyponym
band,wristband,hypernym_to_hyponym
stew,lobscouse,hypernym_to_hyponym
businessman,industrialist,hypernym_to_hyponym
radiotherapy,phototherapy,hypernym_to_hyponym
vision,retrovision,hypernym_to_hyponym
symptom,kaliuresis,hypernym_to_hyponym
farmer,smallholder,hypernym_to_hyponym
anger,rage,hypernym_to_hyponym
object,moon,hypernym_to_hyponym
incantation,invocation,hypernym_to_hyponym
medicine,oncology,hypernym_to_hyponym
mover,pusher,hypernym_to_hyponym
onion,scallion,hypernym_to_hyponym
promenade,esplanade,hypernym_to_hyponym
transition,cut,hypernym_to_hyponym
lac,shellac,hypernym_to_hyponym
craft,vessel,hypernym_to_hyponym
spirit,cowardice,hypernym_to_hyponym
foreperson,foreman,hypernym_to_hyponym
examiner,scrutinizer,hypernym_to_hyponym
symptom,nebula,hypernym_to_hyponym
band,headstall,hypernym_to_hyponym
improvement,revival,hypernym_to_hyponym
symptom,areflexia,hypernym_to_hyponym
leg,prehensor,hypernym_to_hyponym
completeness,entirety,hypernym_to_hyponym
compartment,cell,hypernym_to_hyponym
stew,hotchpotch,hypernym_to_hyponym
walk,wading,hypernym_to_hyponym
improvement,conservation,hypernym_to_hyponym
multitude,following,hypernym_to_hyponym
broadcast,newscast,hypernym_to_hyponym
annihilation,pulverization,hypernym_to_hyponym
medicine,biomedicine,hypernym_to_hyponym
medicine,gastroenterology,hypernym_to_hyponym
gait,saunter,hypernym_to_hyponym
representation,phantasmagoria,hypernym_to_hyponym
swindle,pyramiding,hypernym_to_hyponym
medicine,epidemiology,hypernym_to_hyponym
symptom,stridor,hypernym_to_hyponym
theologian,eschatologist,hypernym_to_hyponym
partisan,bigot,hypernym_to_hyponym
symptom,hypersplenism,hypernym_to_hyponym
node,nodule,hypernym_to_hyponym
pollutant,chlorofluorocarbon,hypernym_to_hyponym
farmer,sower,hypernym_to_hyponym
stew,bigos,hypernym_to_hyponym
walk,shamble,hypernym_to_hyponym
antipsychotic,molindone,hypernym_to_hyponym
indignation,dudgeon,hypernym_to_hyponym
swindle,swiz,hypernym_to_hyponym
symptom,swelling,hypernym_to_hyponym
heir,heiress,hypernym_to_hyponym
neurotic,hysteric,hypernym_to_hyponym
calf,dogie,hypernym_to_hyponym
overgarment,aba,hypernym_to_hyponym
stew,ratatouille,hypernym_to_hyponym
membrane,gelatin,hypernym_to_hyponym
search,exploration,hypernym_to_hyponym
acting,reenactment,hypernym_to_hyponym
agreement,community,hypernym_to_hyponym
jack,yellowtail,hypernym_to_hyponym
symptom,glycosuria,hypernym_to_hyponym
overgarment,izar,hypernym_to_hyponym
pull,draft,hypernym_to_hyponym
garment,mending,hypernym_to_hyponym
flycatcher,thickhead,hypernym_to_hyponym
debtor,mortgagor,hypernym_to_hyponym
object,head,hypernym_to_hyponym
transition,dissolve,hypernym_to_hyponym
indicator,dial,hypernym_to_hyponym
medicine,endocrinology,hypernym_to_hyponym
garment,scapular,hypernym_to_hyponym
ocher,sinopis,hypernym_to_hyponym
assign,allow,hypernym_to_hyponym
transmit,propagate,hypernym_to_hyponym
decorate,fringe,hypernym_to_hyponym
tremble,quiver,hypernym_to_hyponym
coat,soot,hypernym_to_hyponym
tarnish,darken,hypernym_to_hyponym
measure,last,hypernym_to_hyponym
decorate,vermiculate,hypernym_to_hyponym
map,chart,hypernym_to_hyponym
coat,crumb,hypernym_to_hyponym
travel,cruise,hypernym_to_hyponym
darken,overcast,hypernym_to_hyponym
coat,cement,hypernym_to_hyponym
coat,plaster,hypernym_to_hyponym
woo,display,hypernym_to_hyponym
coat,metal,hypernym_to_hyponym
coat,render,hypernym_to_hyponym
decorate,inlay,hypernym_to_hyponym
decorate,redecorate,hypernym_to_hyponym
flatter,stroke,hypernym_to_hyponym
travel,ride,hypernym_to_hyponym
darken,benight,hypernym_to_hyponym
decorate,bedizen,hypernym_to_hyponym
decorate,enamel,hypernym_to_hyponym
tidy,make,hypernym_to_hyponym
convey,communicate,hypernym_to_hyponym
decorate,hang,hypernym_to_hyponym
smear,smirch,hypernym_to_hyponym
coat,grit,hypernym_to_hyponym
decorate,smock,hypernym_to_hyponym
decorate,lacquer,hypernym_to_hyponym
woo,chase,hypernym_to_hyponym
thin,draw,hypernym_to_hyponym
fortify,trench,hypernym_to_hyponym
coat,varnish,hypernym_to_hyponym
prove,result,hypernym_to_hyponym
coat,enrobe,hypernym_to_hyponym
coat,gelatinize,hypernym_to_hyponym
decorate,illuminate,hypernym_to_hyponym
